,Value
Initial,22.64
Final,84.12
Total%,271.52
Vol%pa,145.57
MaxDD%,-51.81
Sharpeâ‰ˆ,1.73
Calmar_Ratio,8.138699872591587
Sortino_Ratio,3.2316635375282554
Information_Ratio,
Treynor_Ratio,
Downside_Deviation,0.04044039216773403
Max_Consecutive_Losses,6.0
Pain_Index,16.953824995122083
Ulcer_Index,21.26540529894237
Skewness,5.9927875080018564
Kurtosis,63.702599609298595
VaR_95,-0.06206643999996272
CVaR_95,-0.10521735171190437
Win_Rate,0.5517241379310345
Profit_Factor,1.538949486709408
Expectancy,0.006895408198349502
Kelly_Criterion,0.19321715463118963
Recovery_Factor,5.240694900810525
Average_Recovery_Time,24.09090909090909
Sterling_Ratio,24.871740795470128
Burke_Ratio,1.1623949646552902
Kappa_3,31.59602627470342
